Field #,Beginning Location,Length,Contents,Name,Code Structure Description,Mapping for the subset of data element that map to the U.S. Standard Cert of Death,Notes,Required for 9/21 Connectathon,VRDR .NET
214,3851,2,"State, U.S. Territory or Canadian Province of Funeral Facility - code",FUNSTATECD,"NCHS Instruction Manual Part 8A
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN CANADIAN PROVINCE OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = UNKNOWN STATE WHERE COUNTRY IS KNOWN, BUT NOT U.S. OR CANADA 
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA  
   BC  BRITISH COLUMBIA 
   MB  MANITOBA 
   NB  NEW BRUNSWICK  
   NF NEWFOUNDLAND  
   NS  NOVA SCOTIA 
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND 
   QC  QUEBEC  
   SK  SASKATCHEWAN
   YT  YUKON",,,,
215,3853,28,"State, U.S. Territory or Canadian Province of Funeral Facility - literal",FUNSTATE,"Valid state, U.S. territory or Canadian province literal, otherwise blank",21,,Y,Y
216,3881,9,Funeral Facility - ZIP,FUNZIP,"Valid 5+4 digit zip code; 3 space 3 for Canada; unknown portion left blank; do not include the ""-""",21,,Y,Y
217,3890,8,Person Pronouncing Date Signed,PPDATESIGNED,mmddyyyy format,26,,Y,Y
218,3898,4,Person Pronouncing Time Pronounced,PPTIME,Military time,,,Y,Y
219,3902,50,Certifier's First Name,CERTFIRST, ,46,,Y,Y
220,3952,50,Certifier's Middle Name,CERTMIDDLE, ,,,,
221,4002,50,Certifier's Last Name,CERTLAST, ,46,,Y,Y
222,4052,10,Certifier's Suffix Name,CERTSUFFIX, ,,,,
223,4062,10,Certifier - Street number,CERTSTNUM,,,,,
224,4072,10,Certifier - Pre Directional,CERTPREDIR,,,,,
225,4082,28,Certifier - Street name,CERTSTRNAME,,,,,
226,4110,10,Certifier - Street designator,CERTSTRDESIG,,,,,
227,4120,10,Certifier - Post Directional,CERTPOSTDIR,,,,,
228,4130,7,Certifier - Unit or apt number,CERTUNITNUM,,,,,
229,4137,50,Long string address for Certifier same as above but allows states to choose the way they capture information.,CERTADDRESS,"The item is made up of one long string that includes Street number, Pre Directional, Street name, Street designator, and Post Directional. Jurisdiction should use version of Certifier address that's used in their system versus reprogramming.",46,,Y,Y
230,4187,28,Certifier - City or Town name,CERTCITYTEXT,Valid city/town/location literal,46,,Y,Y
231,4215,2,"State, U.S. Territory or Canadian Province of Certifier - code",CERTSTATECD,"NCHS Instruction Manual Part 8A
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN CANADIAN PROVINCE OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = UNKNOWN STATE WHERE COUNTRY IS KNOWN, BUT NOT U.S. OR CANADA
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA  
   BC  BRITISH COLUMBIA 
   MB  MANITOBA 
   NB  NEW BRUNSWICK  
   NF NEWFOUNDLAND  
   NS  NOVA SCOTIA 
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND 
   QC  QUEBEC  
   SK  SASKATCHEWAN
   YT  YUKON",46,,,
232,4217,28,"State, U.S. Territory or Canadian Province of Certifier - literal",CERTSTATE,Valid text for U.S. State or Territory or Canadian Province,46,,Y,Y
233,4245,9,Certifier - Zip,CERTZIP,"Valid 5+4 digit zip code; 3 space 3 for Canada; unknown portion left blank; do not include the ""-""",46,,Y,Y
234,4254,8,Certifier Date Signed,CERTDATE,Date signed by Certifier in mmddyyyy format,,,Y,Y
235,4262,8,Date Filed,FILEDATE,Date Filed by Registrar in mmddyyyy format,,,,
236,4270,28,"State, U.S. Territory or Canadian Province of Injury - literal",STINJURY,"Valid state, U.S. territory or Canadian province literal, otherwise blank (blank if natural death)",,,,
237,4298,28,"State, U.S. Territory or Canadian Province of Birth - literal",STATEBTH,"Valid state, U.S. territory or Canadian province literal, otherwise blank",,,,
238,4326,2,Country of Death - Code,DTHCOUNTRYCD,NCHS Part 8 (from FIPS table 10-4),,,,
239,4328,28,Country of Death - Literal,DTHCOUNTRY,Valid text for country of death,,,,
240,4356,3,SSA State Source of Death,SSADTHCODE,SSA Specific State Codes (see SSA contract),,,,
241,4359,1,SSA Foreign Country Indicator,SSAFOREIGN,"SSA indicator, 1 if foreign",,,,
242,4360,1,SSA EDR Verify Code,SSAVERIFY,Y=Yes; N=No ,,,,
243,4361,8,SSA Date of SSN Verification,SSADATEVER,SSA Date of Verification,,,,
244,4369,8,SSA Date of State Transmission,SSADATETRANS,SSA Date of State Transmission,,,,
245,4377,50,Marital Descriptor,MARITAL_DESCRIP,"Free text for use of jurisdictions with domestic partnerships, other
types of relationships.",,,,
246,4427,3,Hispanic Code for Literal,DETHNIC5C ,,,,,
247,4430,300,Blank for future expansion,BLANK2,For future expansion or to account for problems missed,,,,
248,4730,271,Blank for Jurisdictional Use Only,BLANK3,For Jurisdictions to share additional internal data with their data partners ,,,,
